order_id,tracking,declared_weight,carrier_total,outvio_estimate,factura,servicio,destino,billed_weight,weight_check,billed_portes,importe,scope,zone_or_country,expected_portes,diff,verdict,note,fuel_period,billed_fuel,expected_fuel,fuel_verdict,fuel_diff,cost_diff
ES26018736,4381565,10.6,6.94,4.33,72531,*B2C,BAR,11.8,ok,6.45,6.94,national,area_bcn/corto/medio/largo,6.45,0.0,OK,,2026-04-13..2026-04-19,0.49,0.49,OK,0.0,0.0
ES26018805,4399426,3.24,5.63,3.02,72531,*B2C,TER,6.696,STRAY-HIGH,5.0,5.63,national,area_bcn/corto/medio/largo,5.00,0.0,OK,,2026-04-13..2026-04-19,0.38,0.38,OK,0.0,0.0
ES26018856,4400459,9.49,6.94,4.33,72531,*B2C,BAR,11.75,ok,6.45,6.94,national,area_bcn/corto/medio/largo,6.45,0.0,OK,,2026-04-13..2026-04-19,0.49,0.49,OK,0.0,0.0
ES26018963,4404730,11.87,6.94,4.33,72531,*B2C,BAR,11.87,ok,6.45,6.94,national,area_bcn/corto/medio/largo,6.45,0.0,OK,,2026-04-13..2026-04-19,0.49,0.49,OK,0.0,0.0
ES26019641,4456233,9.5,6.94,4.33,72531,*B2C,BAR,14.49,STRAY-HIGH,6.45,6.94,national,area_bcn/corto/medio/largo,6.45,0.0,OK,,2026-04-13..2026-04-19,0.49,0.49,OK,0.0,0.0
ES26019646,4456370,11.74,6.94,4.33,72531,*B2C,BAR,13.2,ok,6.45,6.94,national,area_bcn/corto/medio/largo,6.45,0.0,OK,,2026-04-13..2026-04-19,0.49,0.49,OK,0.0,0.0
ES26017967,4326590,9.5,6.95,4.33,72531,*B2C,BAR,14.168,ok,6.45,6.95,national,area_bcn/corto/medio/largo,6.45,0.0,OK,,2026-04-06..2026-04-12,0.5,0.50,OK,0.0,0.0
ES26018219,4346078,11.89,6.95,4.33,72531,*B2C,BAR,11.89,ok,6.45,6.95,national,area_bcn/corto/medio/largo,6.45,0.0,OK,,2026-04-06..2026-04-12,0.5,0.50,OK,0.0,0.0
ES26019151,4426643,5.37,5.8,3.18,72531,*B2C,BAR,9.663,STRAY-HIGH,5.39,5.8,national,area_bcn/corto/medio/largo,5.39,0.0,OK,,2026-04-13..2026-04-19,0.41,0.41,OK,0.0,0.0
ES26020419,4518620,12.24,9.67,5.75,72531,*B2C,OVI,14.1,ok,8.55,9.67,national,area_bcn/corto/medio/largo,8.55,0.0,OK,,2026-04-20..2026-04-26,0.72,0.72,OK,0.0,0.0
ES26017801,4310566,0.32,11.29,8.25,72531,CLS,DE,1.075,STRAY-HIGH,8.9,11.29,international,ALEMANIA,8.90,0.0,OK,,2026-04-06..2026-04-12,1.74,1.74,OK,0.0,0.0
ES26017861,4316417,0.7,11.29,8.25,72531,CLS,DE,1.909,STRAY-HIGH,8.9,11.29,international,ALEMANIA,8.90,0.0,OK,,2026-04-06..2026-04-12,1.74,1.74,OK,0.0,0.0
ES26018798,4398802,23.05,16.31,22.53,72531,CLS,IT,8.0,stray-low,13.26,16.31,international,ITALIA,13.26,0.0,OK,,2026-04-13..2026-04-19,2.65,2.65,OK,0.0,0.0
ES26018843,4400253,9.08,16.31,13.92,72531,CLS,IT,7.1,ok,13.26,16.31,international,ITALIA,13.26,0.0,OK,,2026-04-13..2026-04-19,2.65,2.65,OK,0.0,0.0
Z97X-2604-172412,3774872,,5.82,3.17,72531,*DEV,BAR,5.4,no-declared,5.41,5.82,,,,,UNVERIFIED,service not modelled (*DEV),2026-04-13..2026-04-19,0.41,,NO-INDEX,,
ES26017430,4272365,5.5,6.06,3.4,72531,*B2C,BAR,9.466,STRAY-HIGH,5.39,6.06,national,area_bcn/corto/medio/largo,5.39,0.0,OK,,2026-04-06..2026-04-12,0.42,0.42,OK,0.0,0.0
ES26017796,4310404,0.38,11.72,8.66,72531,CLS,IT,1.129,STRAY-HIGH,9.47,11.72,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.85,1.85,OK,0.0,0.0
ES26017803,4310680,0.57,11.72,8.66,72531,CLS,IT,1.075,STRAY-HIGH,9.47,11.72,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.85,1.85,OK,0.0,0.0
ES26017863,4316487,0.26,11.72,8.66,72531,CLS,IT,1.129,STRAY-HIGH,9.47,11.72,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.85,1.85,OK,0.0,0.0
ES26017883,4317580,0.57,11.72,8.66,72531,CLS,IT,1.075,STRAY-HIGH,9.47,11.72,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.85,1.85,OK,0.0,0.0
ES26017885,4317599,0.48,11.72,8.66,72531,CLS,IT,1.026,STRAY-HIGH,9.47,11.72,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.85,1.85,OK,0.0,0.0
ES26017891,4317861,0.87,11.72,8.66,72531,CLS,IT,1.2,ok,9.47,11.72,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.85,1.85,OK,0.0,0.0
ES26017905,4319650,0.45,11.72,8.66,72531,CLS,IT,1.129,STRAY-HIGH,9.47,11.72,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.85,1.85,OK,0.0,0.0
ES26017923,4324591,0.4,11.72,8.66,72531,CLS,IT,1.037,STRAY-HIGH,9.47,11.72,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.85,1.85,OK,0.0,0.0
