ID del pedido,Seguimiento courier,Fecha de envío,Tarifa base,Peso facturable,Peso original,Contra reembolso (COD),Dimensión,Combustible,Paquetes,Seguro,Zona remota,Corrección de dirección,Derechos de exportación,Otros,Total mensajería,Total original,Fecha de recogida,Fecha de entrega,Días en tránsito,Días en tránsito (SLA),Razón,Sobrecargo total,Total esperado (checker),Sobrecargo (checker),Veredicto (checker),Razón (checker)
ES26016936,4170812,04.01.2026,5.81,0.1,0.1,0,0,0.41,0.0,0,0,0,0,0.0,9.79,6.22,01.04.2026,02.04.2026,1,2,Fuel; Dimensions; Parcels; Other,2.57,9.56,0.23,OK,Combustible
ES26018594,4370414,21.05.2026,4.33,11.75,10.4,0,0,0.0,0.0,0,0,0,0,0.0,7.96,4.33,13.04.2026,14.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.63,7.96,0.0,OK,
ES26018655,4372745,21.05.2026,16.92,1.96,1.13,0,0,0.0,0.0,0,0,0,0,0.0,20.95,16.92,13.04.2026,17.04.2026,4,6,Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.63,20.95,0.0,OK,Peso
Z97X-2604-174085,4385410,21.05.2026,3.02,5.4,3.24,0,0,0.0,0.0,0,0,0,0,0.0,6.65,3.02,14.04.2026,15.04.2026,2,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.63,6.53,0.12,OK,Combustible; Peso
ES26017868,4317293,04.09.2026,8.66,2.38,0.98,0,0,0.0,0.0,0,0,0,0,0.0,12.71,8.66,09.04.2026,14.04.2026,5,4,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.65,12.71,0.0,OK,Peso
ES26017900,4318850,04.09.2026,8.66,2.02,0.85,0,0,0.0,0.0,0,0,0,0,0.0,12.71,8.66,10.04.2026,14.04.2026,4,4,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.65,12.71,0.0,OK,Peso
ES26018682,4373909,21.05.2026,3.02,9.95,3.03,0,0,0.0,0.0,0,0,0,0,0.0,6.67,3.02,13.04.2026,14.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.65,6.67,0.0,OK,Peso
Z97X-2603-170929,4073981,21.05.2026,2.96,11.2,-,0,0,0.21,0.0,0,0,0,0,0.0,2.68,3.17,27.03.2026,07.04.2026,11,1,Extreme Delay,2.68,,,UNVERIFIED,
ES26019142,4426010,21.05.2026,8.66,2.38,0.73,0,0,0.0,0.0,0,0,0,0,0.0,12.76,8.66,15.04.2026,17.04.2026,2,4,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.7,12.76,0.0,OK,Peso
ES26019708,4460214,21.05.2026,3.18,8.09,7.19,0,0,0.0,0.2,0,0,0,0,0.0,7.89,3.38,16.04.2026,20.04.2026,4,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.71,7.78,0.11,OK,Combustible
ES26016875,4166537,04.01.2026,5.58,21.4,21.39,0,0,0.39,0.0,0,0,0,0,0.0,10.69,5.97,01.04.2026,02.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.72,10.69,0.0,OK,
ES26017050,4176469,04.01.2026,5.58,21.5,21.5,0,0,0.39,0.0,0,0,0,0,0.0,10.69,5.97,01.04.2026,02.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other,2.72,10.69,0.0,OK,
ES26019654,4457248,21.05.2026,3.18,9.55,7.74,0,0,0.0,0.0,0,0,0,0,0.0,6.92,3.18,16.04.2026,17.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.74,6.92,0.0,OK,
ES26019929,4478110,21.05.2026,4.33,18.23,10.15,0,0,1.12,0.2,0,0,0,0,0.0,9.74,5.65,17.04.2026,20.04.2026,3,1,Rate; Dimensions; Parcels; Other; ShipmentWeight,2.74,9.74,0.0,OK,Peso
Z97X-2604-174534,4426598,21.05.2026,8.51,5.4,4.51,0,0,0.0,0.0,0,0,0,0,0.0,12.26,8.51,15.04.2026,16.04.2026,1,2,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.75,12.26,0.0,OK,
ES26018476,4363329,21.05.2026,3.18,13.52,8.48,0,0,0.0,0.0,0,0,0,0,0.0,6.94,3.18,13.04.2026,14.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.76,6.94,0.0,OK,Peso
ES26019225,4430078,21.05.2026,3.18,10.15,6.72,0,0,0.0,0.0,0,0,0,0,0.0,6.94,3.18,15.04.2026,16.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.76,6.94,0.0,OK,Peso
Z97X-2604-172401,4244065,04.07.2026,2.96,14.17,-,0,0,0.21,0.0,0,0,0,0,0.0,6.95,3.17,08.04.2026,09.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.78,6.95,0.0,OK,
Z97X-2604-173211,4326585,04.10.2026,11.12,2.55,3.24,0,0,0.0,0.0,0,0,0,0,0.0,14.5,11.12,10.04.2026,15.04.2026,5,4,Fuel; Dimensions; Parcels; Other,2.8,14.21,0.29,OK,Combustible
ES26016872,4166383,04.01.2026,8.21,44.65,42.25,0,0,0.57,0.0,0,0,0,0,0.0,13.59,8.78,01.04.2026,02.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.81,13.59,0.0,OK,
ES26018035,4328283,04.10.2026,9.47,3.05,1.89,0,0,0.0,0.0,0,0,0,0,0.0,13.69,9.47,10.04.2026,15.04.2026,5,4,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.82,13.69,0.0,OK,Peso
ES26018989,4406965,21.05.2026,4.89,18.65,17.17,0,0,0.0,0.2,0,0,0,0,0.0,9.74,5.09,14.04.2026,15.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.85,9.74,0.0,OK,
ES26018774,4397595,21.05.2026,3.02,8.92,3.54,0,0,0.0,0.0,0,0,0,0,0.0,7.89,3.02,14.04.2026,15.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.87,7.78,0.11,OK,Combustible; Peso
ES26019139,4425473,21.05.2026,9.47,3.79,1.94,0,0,0.0,0.0,0,0,0,0,0.0,13.74,9.47,15.04.2026,21.04.2026,6,4,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.87,13.74,0.0,OK,Peso
ES26018155,4332304,04.10.2026,8.66,2.5,0.1,0,0,0.0,0.0,0,0,0,0,0.0,12.96,8.66,10.04.2026,15.04.2026,5,4,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.9,12.96,0.0,OK,
ES26022612,4751043,21.05.2026,9.47,5.47,1.3,0,0,1.8,0.0,0,0,0,0,0.0,15.58,11.27,29.04.2026,04.05.2026,5,4,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.91,15.58,0.0,OK,Peso
ES26017041,4176166,04.01.2026,4.33,10.4,10.4,0,0,0.3,0.0,0,0,0,0,0.0,8.57,4.63,01.04.2026,02.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other,2.94,8.45,0.12,OK,Combustible
FR26019150,4426289,21.05.2026,19.7,22.0,21.24,0,0,0.0,0.0,0,0,0,0,0.0,24.04,19.7,15.04.2026,17.04.2026,2,3,Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.94,24.04,0.0,OK,
ES26019219,4429153,21.05.2026,8.66,2.46,0.1,0,0,0.0,0.0,0,0,0,0,0.0,13.01,8.66,15.04.2026,21.05.2026,0,4,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,2.95,13.01,0.0,OK,
ES26017759,4304886,04.09.2026,3.18,7.22,7.22,0,0,1.11,0.0,0,0,0,0,0.0,7.69,4.29,09.04.2026,10.04.2026,1,1,Rate; Dimensions; Parcels; Other,2.96,7.58,0.11,OK,Combustible
ES26017749,4304069,04.09.2026,4.89,16.38,16.38,0,0,1.71,0.0,0,0,0,0,0.0,9.56,6.6,09.04.2026,10.04.2026,1,1,Rate; Dimensions; Parcels; Other,2.98,9.56,0.0,OK,
